ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1747590960000,993.9313,-0.0053,-0.0053,-6.0634,0.0,0.0,0,0
1747605360000,984.4107,-7.2234,-7.0983,-8.491,0.1252,0.0,4,0
1747619760000,987.897,-3.205,-3.0191,-9.0839,0.186,0.0,7,0
1747634160000,980.5841,-6.5583,-6.2872,-13.1287,0.2711,0.0,10,0
1747648560000,983.3453,-5.5243,-5.2532,-11.4014,0.2711,0.0,10,0
1747662960000,985.3926,-4.9683,-4.6501,-9.9572,0.3182,0.0,11,0
1747677360000,988.9974,-4.3685,-3.9298,-7.0728,0.4387,0.0,15,0
1747691760000,990.1061,-3.6402,-3.2015,-6.6924,0.4387,0.0,15,0
1747706160000,993.0717,-2.1015,-1.6628,-5.2654,0.4387,0.0,15,0
1747720560000,992.358,-1.4914,-0.9858,-6.6563,0.5056,0.0,17,0
1747734960000,990.7197,-1.8056,-1.2903,-7.99,0.5153,0.0,18,0
1747749360000,987.2492,-3.207,-2.5915,-10.1593,0.6155,0.0,20,0
1747763760000,992.8214,-1.6252,-1.0097,-6.169,0.6155,0.0,20,0
1747778160000,994.2338,-0.8979,-0.1997,-5.5665,0.6982,0.0,22,0
1747792560000,995.6655,0.0695,0.7986,-5.1331,0.729,0.0,23,0
1747806960000,999.9339,1.9734,2.7024,-2.7685,0.729,0.0,23,0
1747821360000,994.1928,1.7675,2.5579,-8.3652,0.7904,0.0,25,0
1747835760000,997.7229,2.0939,2.8843,-5.1614,0.7904,0.0,25,0
1747850160000,988.3018,-1.37,-0.3375,-11.3607,1.0325,0.0,32,0
1747864560000,994.6246,-0.0939,0.9538,-6.3292,1.0478,0.0,33,0
1747878960000,1000.5151,3.4804,4.5939,-4.0788,1.1135,0.0,35,0
1747893360000,1002.1577,5.7596,6.9953,-4.8376,1.2357,0.0,39,0
1747907760000,1001.6646,8.2782,9.5449,-7.8803,1.2667,0.0,40,0
1747922160000,1000.9769,8.4058,9.7434,-8.7664,1.3375,0.0,41,0
1747936560000,1002.8352,9.0541,10.3916,-7.5564,1.3375,0.0,41,0
1747950960000,1001.1125,9.0541,10.3916,-9.2792,1.3375,0.0,41,0
1747965360000,1004.2648,10.151,11.5095,-7.2446,1.3585,0.0,42,0
1747979760000,1005.2015,11.5714,12.9299,-7.7283,1.3585,0.0,42,0
1747994160000,1006.8142,12.5872,13.9668,-7.1526,1.3796,0.0,43,0
1748008560000,996.8541,5.9119,7.5035,-10.6494,1.5916,0.0,49,0
1748022960000,998.3957,6.9229,8.5299,-10.1342,1.607,0.0,50,0
1748037360000,994.2286,7.0772,8.6842,-14.4556,1.607,0.0,50,0
1748051760000,992.2666,4.1959,5.8584,-13.5918,1.6625,0.0,52,0
1748066160000,994.714,4.2425,5.905,-11.191,1.6625,0.0,52,0
1748080560000,995.2819,4.4858,6.1484,-10.8664,1.6625,0.0,52,0
1748094960000,994.6763,4.2126,5.9103,-11.234,1.6977,0.0,53,0
1748109360000,996.3001,4.3797,6.0775,-9.7773,1.6977,0.0,53,0
1748123760000,995.5817,4.5341,6.2318,-10.6501,1.6977,0.0,53,0
1748138160000,990.6074,4.779,6.4767,-15.8694,1.6977,0.0,53,0
1748152560000,993.3956,5.181,6.8787,-13.4831,1.6977,0.0,53,0
1748166960000,989.6467,2.1394,3.9043,-14.2576,1.7649,0.0,55,0
1748181360000,992.1177,2.3807,4.1456,-12.0279,1.7649,0.0,55,0
1748195760000,991.6899,2.5446,4.3095,-12.6196,1.7649,0.0,55,0
1748210160000,992.3124,2.5602,4.3251,-12.0127,1.7649,0.0,55,0
1748224560000,995.6848,2.7469,4.5672,-8.8824,1.8203,0.0,57,0
1748238960000,996.7277,2.824,4.6443,-7.9166,1.8203,0.0,57,0
1748253360000,994.9869,3.2055,5.0568,-10.0699,1.8514,0.0,58,0
1748267760000,994.8104,3.364,5.2153,-10.405,1.8514,0.0,58,0
1748282160000,993.6118,3.7807,5.6321,-12.0202,1.8514,0.0,58,0
1748296560000,996.2032,4.277,6.1284,-9.9252,1.8514,0.0,58,0
1748310960000,991.5373,3.0525,4.9337,-13.3963,1.8812,0.0,59,0
1748325360000,994.746,3.1355,5.0167,-10.2707,1.8812,0.0,59,0
1748339760000,996.4993,3.9561,5.868,-9.3687,1.9118,0.0,60,0
1748354160000,996.6126,5.3549,7.3056,-10.693,1.9507,0.0,61,0
1748368560000,999.8373,6.2221,8.1728,-8.3355,1.9507,0.0,61,0
1748382960000,996.856,6.3935,8.3442,-11.4882,1.9507,0.0,61,0
1748397360000,995.6085,6.4728,8.4235,-12.815,1.9507,0.0,61,0
1748411760000,996.2575,6.7196,8.6703,-12.4128,1.9507,0.0,61,0
1748426160000,996.3601,6.8908,8.8415,-12.4814,1.9507,0.0,61,0
1748440560000,996.4606,7.2966,9.2473,-12.7868,1.9507,0.0,61,0
